security_type,exchange,code,symbol,name,category,currency,delivery_month,delivery_date,strike_price,option_right,underlying_kind,underlying_code,unit,multiplier,limit_up,limit_down,reference,update_date,margin_trading_balance,short_selling_balance,day_trade,target_code
FUT,TAIFEX,BRFK5,BRF202510,布蘭特原油期貨10,BRF,TWD,202510,2025/10/02,0,,C,,1,0,2176.5,1892.5,2034.5,2025/09/12,0,0,No,
FUT,TAIFEX,BRFL5,BRF202511,布蘭特原油期貨11,BRF,TWD,202511,2025/11/04,0,,C,,1,0,2167.0,1884.0,2025.5,2025/09/12,0,0,No,
FUT,TAIFEX,BRFL6,BRF202611,布蘭特原油期貨11,BRF,TWD,202611,2026/11/03,0,,C,,1,0,2150.5,1869.5,2010.0,2025/09/12,0,0,No,
FUT,TAIFEX,BRFA6,BRF202512,布蘭特原油期貨12,BRF,TWD,202512,2025/12/02,0,,C,,1,0,2169.5,1886.5,2028.0,2025/09/12,0,0,No,
FUT,TAIFEX,BRFF6,BRF202605,布蘭特原油期貨05,BRF,TWD,202605,2026/05/04,0,,C,,1,0,2154.5,1873.5,2014.0,2025/09/12,0,0,No,
FUT,TAIFEX,BRFR1,BRFR1,布蘭特原油期貨近月,BRF,TWD,202510,2025/10/02,0,,C,,1,0,2176.5,1892.5,2034.5,2025/09/12,0,0,No,BRFK5
FUT,TAIFEX,BRFR2,BRFR2,布蘭特原油期貨次月,BRF,TWD,202511,2025/11/04,0,,C,,1,0,2167.0,1884.0,2025.5,2025/09/12,0,0,No,BRFL5
FUT,TAIFEX,BTFK5,BTF202511,臺灣生技期貨11,BTF,TWD,202511,2025/11/19,0,,I,,1,0,4467.0,3655.0,4061.0,2025/09/12,0,0,No,
FUT,TAIFEX,BTFC6,BTF202603,臺灣生技期貨03,BTF,TWD,202603,2026/03/18,0,,I,,1,0,4478.0,3664.0,4071.0,2025/09/12,0,0,No,
FUT,TAIFEX,BTFL5,BTF202512,臺灣生技期貨12,BTF,TWD,202512,2025/12/17,0,,I,,1,0,4485.0,3671.0,4078.0,2025/09/12,0,0,No,
FUT,TAIFEX,BTFJ5,BTF202510,臺灣生技期貨10,BTF,TWD,202510,2025/10/15,0,,I,,1,0,4529.0,3707.0,4118.0,2025/09/12,0,0,No,
FUT,TAIFEX,BTFF6,BTF202606,臺灣生技期貨06,BTF,TWD,202606,2026/06/17,0,,I,,1,0,4448.0,3640.0,4044.0,2025/09/12,0,0,No,
FUT,TAIFEX,BTFI5,BTF202509,臺灣生技期貨09,BTF,TWD,202509,2025/09/17,0,,I,,1,0,4501.0,3683.0,4092.0,2025/09/12,0,0,No,
FUT,TAIFEX,BTFR1,BTFR1,臺灣生技期貨近月,BTF,TWD,202509,2025/09/17,0,,I,,1,0,4501.0,3683.0,4092.0,2025/09/12,0,0,No,BTFI5
FUT,TAIFEX,BTFR2,BTFR2,臺灣生技期貨次月,BTF,TWD,202510,2025/10/15,0,,I,,1,0,4529.0,3707.0,4118.0,2025/09/12,0,0,No,BTFJ5
FUT,TAIFEX,CAFI5,CAF202509,南亞期貨09,CAF,TWD,202509,2025/09/17,0,,S,1303,1,0,40.95,33.55,37.25,2025/09/12,0,0,No,
FUT,TAIFEX,CAFC6,CAF202603,南亞期貨03,CAF,TWD,202603,2026/03/18,0,,S,1303,1,0,40.9,33.5,37.2,2025/09/12,0,0,No,
FUT,TAIFEX,CAFF6,CAF202606,南亞期貨06,CAF,TWD,202606,2026/06/17,0,,S,1303,1,0,40.9,33.5,37.2,2025/09/12,0,0,No,
FUT,TAIFEX,CAFL5,CAF202512,南亞期貨12,CAF,TWD,202512,2025/12/17,0,,S,1303,1,0,41.25,33.75,37.5,2025/09/12,0,0,No,
FUT,TAIFEX,CAFJ5,CAF202510,南亞期貨10,CAF,TWD,202510,2025/10/15,0,,S,1303,1,0,40.95,33.55,37.25,2025/09/12,0,0,No,
FUT,TAIFEX,CAFR1,CAFR1,南亞期貨近月,CAF,TWD,202509,2025/09/17,0,,S,1303,1,0,40.95,33.55,37.25,2025/09/12,0,0,No,CAFI5
FUT,TAIFEX,CAFR2,CAFR2,南亞期貨次月,CAF,TWD,202510,2025/10/15,0,,S,1303,1,0,40.95,33.55,37.25,2025/09/12,0,0,No,CAFJ5
FUT,TAIFEX,CBFI5,CBF202509,中鋼期貨09,CBF,TWD,202509,2025/09/17,0,,S,2002,1,0,21.05,17.25,19.15,2025/09/12,0,0,No,
FUT,TAIFEX,CBFF6,CBF202606,中鋼期貨06,CBF,TWD,202606,2026/06/17,0,,S,2002,1,0,21.1,17.3,19.2,2025/09/12,0,0,No,
FUT,TAIFEX,CBFJ5,CBF202510,中鋼期貨10,CBF,TWD,202510,2025/10/15,0,,S,2002,1,0,21.1,17.3,19.2,2025/09/12,0,0,No,
