security_type,exchange,code,symbol,name,category,currency,delivery_month,delivery_date,strike_price,option_right,underlying_kind,underlying_code,unit,multiplier,limit_up,limit_down,reference,update_date,margin_trading_balance,short_selling_balance,day_trade,target_code
IND,OTC,101,OTC101,櫃檯買賣發行量加權股價指數,,TWD,,,0,,,,0,0,0.0,0.0,0.0,,0,0,No,
IND,OTC,104,OTC104,紡織纖維類指數,,TWD,,,0,,,,0,0,0.0,0.0,0.0,,0,0,No,
IND,OTC,105,OTC105,電機機械類指數,,TWD,,,0,,,,0,0,0.0,0.0,0.0,,0,0,No,
IND,OTC,107,OTC107,化學工業類指數,,TWD,,,0,,,,0,0,0.0,0.0,0.0,,0,0,No,
IND,OTC,108,OTC108,鋼鐵工業類指數,,TWD,,,0,,,,0,0,0.0,0.0,0.0,,0,0,No,
IND,OTC,109,OTC109,電子工業類指數,,TWD,,,0,,,,0,0,0.0,0.0,0.0,,0,0,No,
IND,OTC,110,OTC110,建材營造類指數,,TWD,,,0,,,,0,0,0.0,0.0,0.0,,0,0,No,
IND,OTC,111,OTC111,航運業指數,,TWD,,,0,,,,0,0,0.0,0.0,0.0,,0,0,No,
IND,OTC,112,OTC112,觀光事業類指數,,TWD,,,0,,,,0,0,0.0,0.0,0.0,,0,0,No,
IND,OTC,117,OTC117,生技醫療類指數,,TWD,,,0,,,,0,0,0.0,0.0,0.0,,0,0,No,
IND,OTC,119,OTC119,半導體業指數,,TWD,,,0,,,,0,0,0.0,0.0,0.0,,0,0,No,
IND,OTC,120,OTC120,電腦及週邊設備業指數,,TWD,,,0,,,,0,0,0.0,0.0,0.0,,0,0,No,
IND,OTC,121,OTC121,光電業指數,,TWD,,,0,,,,0,0,0.0,0.0,0.0,,0,0,No,
IND,OTC,122,OTC122,通信網路業指數,,TWD,,,0,,,,0,0,0.0,0.0,0.0,,0,0,No,
IND,OTC,123,OTC123,電子零組件業指數,,TWD,,,0,,,,0,0,0.0,0.0,0.0,,0,0,No,
IND,OTC,124,OTC124,電子通路業指數,,TWD,,,0,,,,0,0,0.0,0.0,0.0,,0,0,No,
