security_type,exchange,code,symbol,name,category,currency,delivery_month,delivery_date,strike_price,option_right,underlying_kind,underlying_code,unit,multiplier,limit_up,limit_down,reference,update_date,margin_trading_balance,short_selling_balance,day_trade,target_code
OPT,TAIFEX,CAO00290I5,CAO2025092900C,南亞選擇權09月29.0C,CAO,TWD,202509,2025/09/17,29.0,C,S,1303,1,0,12.1,4.7,8.4,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00400U5,CAO2025094000P,南亞選擇權09月40.0P,CAO,TWD,202509,2025/09/17,40.0,P,S,1303,1,0,6.6,0.01,2.92,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00250L5,CAO2025122500C,南亞選擇權12月25.0C,CAO,TWD,202512,2025/12/17,25.0,C,S,1303,1,0,16.6,9.25,12.95,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00240U5,CAO2025092400P,南亞選擇權09月24.0P,CAO,TWD,202509,2025/09/17,24.0,P,S,1303,1,0,3.71,0.01,0.01,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00330I5,CAO2025093300C,南亞選擇權09月33.0C,CAO,TWD,202509,2025/09/17,33.0,C,S,1303,1,0,8.15,0.77,4.47,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00300X5,CAO2025123000P,南亞選擇權12月30.0P,CAO,TWD,202512,2025/12/17,30.0,P,S,1303,1,0,5.15,0.01,1.45,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00390V5,CAO2025103900P,南亞選擇權10月39.0P,CAO,TWD,202510,2025/10/15,39.0,P,S,1303,1,0,7.25,0.01,3.56,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00260I5,CAO2025092600C,南亞選擇權09月26.0C,CAO,TWD,202509,2025/09/17,26.0,C,S,1303,1,0,15.1,7.7,11.4,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00340X5,CAO2025123400P,南亞選擇權12月34.0P,CAO,TWD,202512,2025/12/17,34.0,P,S,1303,1,0,6.55,0.01,2.89,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00380U5,CAO2025093800P,南亞選擇權09月38.0P,CAO,TWD,202509,2025/09/17,38.0,P,S,1303,1,0,5.15,0.01,1.49,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00460J5,CAO2025104600C,南亞選擇權10月46.0C,CAO,TWD,202510,2025/10/15,46.0,C,S,1303,1,0,4.16,0.01,0.46,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00430J5,CAO2025104300C,南亞選擇權10月43.0C,CAO,TWD,202510,2025/10/15,43.0,C,S,1303,1,0,4.6,0.01,0.9,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00320X5,CAO2025123200P,南亞選擇權12月32.0P,CAO,TWD,202512,2025/12/17,32.0,P,S,1303,1,0,5.75,0.01,2.09,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00440L5,CAO2025124400C,南亞選擇權12月44.0C,CAO,TWD,202512,2025/12/17,44.0,C,S,1303,1,0,6.15,0.01,2.49,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00525I5,CAO2025095250C,南亞選擇權09月52.5C,CAO,TWD,202509,2025/09/17,52.5,C,S,1303,1,0,3.71,0.01,0.01,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00270U5,CAO2025092700P,南亞選擇權09月27.0P,CAO,TWD,202509,2025/09/17,27.0,P,S,1303,1,0,3.71,0.01,0.01,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00260L5,CAO2025122600C,南亞選擇權12月26.0C,CAO,TWD,202512,2025/12/17,26.0,C,S,1303,1,0,15.8,8.4,12.1,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00370J5,CAO2025103700C,南亞選擇權10月37.0C,CAO,TWD,202510,2025/10/15,37.0,C,S,1303,1,0,6.55,0.01,2.88,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00370U5,CAO2025093700P,南亞選擇權09月37.0P,CAO,TWD,202509,2025/09/17,37.0,P,S,1303,1,0,4.66,0.01,0.96,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00340U5,CAO2025093400P,南亞選擇權09月34.0P,CAO,TWD,202509,2025/09/17,34.0,P,S,1303,1,0,3.85,0.01,0.15,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00390I5,CAO2025093900C,南亞選擇權09月39.0C,CAO,TWD,202509,2025/09/17,39.0,C,S,1303,1,0,4.26,0.01,0.56,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00300L5,CAO2025123000C,南亞選擇權12月30.0C,CAO,TWD,202512,2025/12/17,30.0,C,S,1303,1,0,12.7,5.3,9.0,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00550X5,CAO2025125500P,南亞選擇權12月55.0P,CAO,TWD,202512,2025/12/17,55.0,P,S,1303,1,0,21.8,14.4,18.1,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00450J5,CAO2025104500C,南亞選擇權10月45.0C,CAO,TWD,202510,2025/10/15,45.0,C,S,1303,1,0,4.28,0.01,0.58,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00500U5,CAO2025095000P,南亞選擇權09月50.0P,CAO,TWD,202509,2025/09/17,50.0,P,S,1303,1,0,16.3,8.9,12.6,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00550U5,CAO2025095500P,南亞選擇權09月55.0P,CAO,TWD,202509,2025/09/17,55.0,P,S,1303,1,0,21.3,13.9,17.6,2025/09/12,0,0,No,
OPT,TAIFEX,CAO00450I5,CAO2025094500C,南亞選擇權09月45.0C,CAO,TWD,202509,2025/09/17,45.0,C,S,1303,1,0,3.71,0.01,0.01,2025/09/12,0,0,No,
